6 5 135
529.5	529.282	529.088	526.979	526.412	522.162	
535.61 	535.20	535.13  532.11  530.81  525.35  0.80    0.80    0.80    0.80    0.80
534.32	533.96	533.83	530.77	529.56	524.58	0.60	0.61	0.93	0.86	1.02
535.53	535.12	535.11	532.39	531.11	525.57	0.71	1.02	0.88	0.70	1.01
535.43	535.03	535.01	532.28	531.00	525.51	0.71	1.00	0.89	0.73	1.01
534.84	534.46	534.40	531.61	530.40	525.24	0.61	0.66	1.05	0.67	0.90
534.74	534.36	534.29	531.49	530.28	525.15	0.60	0.65	1.04	0.68	0.91
534.71	534.34	534.26	531.44	530.22	525.01	0.60	0.74	0.92	0.74	0.92
535.03	534.65	534.50	531.16	529.84	524.47	0.74	0.60	0.65	0.74	0.92
534.29	533.93	533.79	530.67	529.46	524.48	0.61	0.60	0.91	0.87	1.05
535.38	534.98	534.94	532.15	530.87	525.38	0.71	0.99	0.86	0.74	1.05
535.46	535.05	535.03	532.29	531.01	525.52	0.71	0.99	0.92	0.71	1.04
534.87	534.49	534.42	531.60	530.39	525.20	0.62	0.67	1.02	0.66	0.92
534.69	534.32	534.24	531.42	530.22	525.11	0.60	0.64	1.04	0.70	0.90
534.63	534.27	534.08	530.69	529.39	524.25	0.74	0.74	0.60	1.05	1.05
534.29	533.93	533.79	530.73	529.53	524.59	0.60	0.60	0.97	0.87	1.05
534.21	533.86	533.70	530.57	529.35	524.40	0.60	0.63	0.86	0.92	1.05
535.98	535.57	535.45	532.10	530.73	525.14	0.90	0.62	0.63	0.75	0.62
536.75	536.32	536.22	532.84	531.43	525.68	1.05	0.62	0.90	0.60	0.89
533.98	533.64	533.45	530.20	529.00	524.16	0.60	0.60	0.80	1.05	1.05
534.27	533.91	533.79	530.90	529.73	524.87	0.60	0.75	1.05	1.05	1.05
535.30	534.91	534.81	531.72	530.44	525.12	0.77	0.74	0.76	0.89	0.74
535.19	534.78	534.80	532.30	531.09	525.78	0.60	0.81	1.05	0.60	0.75
535.23	534.84	534.73	531.60	530.32	524.96	0.74	0.60	0.91	0.60	1.02
537.15	536.69	536.67	533.58	532.19	526.41	1.05	0.75	1.03	0.60	0.76
531.62	531.34	531.19	528.62	527.69	523.38	0.63	0.74	1.05	0.81	1.04
534.65	534.27	534.20	531.38	530.18	525.06	0.60	0.73	1.05	0.74	1.05
535.64	535.24	535.10	531.86	530.57	525.40	0.90	0.60	0.90	1.05	0.60
